,timestamp,swptrace,cmd,mode,swpentry,address
4102,0.775427,swptrace,memwalk,in,4274,000000002fae9f3c
4104,0.779764,swptrace,memwalk,in,4402,0000000040ad1e80
4106,0.78316,swptrace,memwalk,in,4530,000000003f7bf010
4108,0.786528,swptrace,memwalk,in,4658,0000000073a0c3ae
4110,0.790895,swptrace,memwalk,in,4786,00000000dddb85a7
4112,0.794286,swptrace,memwalk,in,4914,000000005d5e7899
4114,0.797687,swptrace,memwalk,in,5042,00000000486d430c
4116,0.802073,swptrace,memwalk,in,5170,00000000f5a0491c
4118,0.805422,swptrace,memwalk,in,5298,00000000bcda37b7
4120,0.808816,swptrace,memwalk,in,5426,00000000a90cd96c
4122,0.813152,swptrace,memwalk,in,5554,00000000760da390
4124,0.81655,swptrace,memwalk,in,5682,00000000370a575b
4126,0.819944,swptrace,memwalk,in,5810,000000004a446832
4128,0.823341,swptrace,memwalk,in,5938,00000000d7ab9149
4130,0.827682,swptrace,memwalk,in,6066,00000000616f5f75
4132,0.831034,swptrace,memwalk,in,6194,00000000ecd7660c
4134,0.834468,swptrace,memwalk,in,6322,00000000f66bcd0d
4136,0.838739,swptrace,memwalk,in,6450,00000000bf18d620
4138,0.8422,swptrace,memwalk,in,6578,00000000f759a339
4140,0.845602,swptrace,memwalk,in,6706,00000000d6a41a95
4142,0.849938,swptrace,memwalk,in,6834,000000005a04d161
4144,0.853341,swptrace,memwalk,in,6962,00000000005601c4
4146,0.856731,swptrace,memwalk,in,7090,000000005ab53ff6
4148,0.861069,swptrace,memwalk,in,7218,000000006e64e74b
4150,0.864464,swptrace,memwalk,in,7346,000000009fc183d7
4152,0.867816,swptrace,memwalk,in,7474,0000000014908c27
4154,0.879368,swptrace,memwalk,in,7602,00000000b3185959
4156,1.073115,swptrace,memwalk,in,7730,000000008e047d51
4158,1.093669,swptrace,memwalk,in,7858,00000000d66f51b3
4160,1.094072,swptrace,memwalk,in,7986,00000000461cd8b8
4162,1.094272,swptrace,memwalk,in,8167,00000000505b0112
4164,1.094487,swptrace,memwalk,in,8295,00000000e045d602
4166,1.094662,swptrace,memwalk,in,8423,00000000d8b0a16b
4168,1.094987,swptrace,memwalk,in,8551,00000000d67c6255
4170,1.095378,swptrace,memwalk,in,8679,000000001877a200
4172,1.095831,swptrace,memwalk,in,8807,00000000e8598c7a
4174,1.096244,swptrace,memwalk,in,8935,0000000027b5b796
4176,1.096594,swptrace,memwalk,in,9063,00000000337ed204
4178,1.096933,swptrace,memwalk,in,9191,000000008b6e8821
4180,1.097274,swptrace,memwalk,in,9319,0000000033ca16e9
4182,1.097614,swptrace,memwalk,in,9447,00000000c35764ec
4184,1.097981,swptrace,memwalk,in,9575,00000000b90254eb
4186,1.098325,swptrace,memwalk,in,9703,000000006b0f3262
4188,1.098603,swptrace,memwalk,in,9831,000000001e938323
4190,1.098919,swptrace,memwalk,in,9959,00000000bf75d683
4192,1.099097,swptrace,memwalk,in,10087,00000000fb4e90d0
4194,1.099385,swptrace,memwalk,in,17895,000000005bd165ae
4196,1.099593,swptrace,memwalk,in,18023,000000005c18ee91
4198,1.099944,swptrace,memwalk,in,18151,000000004541c481
4200,1.100281,swptrace,memwalk,in,18279,000000007b9ac0c4
4202,1.100614,swptrace,memwalk,in,18907,00000000dbe40f76
4204,1.100901,swptrace,memwalk,in,19035,000000004b3de4d3
4206,1.101071,swptrace,memwalk,in,19163,000000002fa19df9
4208,1.101381,swptrace,memwalk,in,19291,00000000a85a6700
4210,1.101658,swptrace,memwalk,in,19419,000000005f9d43a7
4212,1.10202,swptrace,memwalk,in,19547,00000000a9e52e41
4214,1.102383,swptrace,memwalk,in,19675,00000000f3b092bf
4216,1.10267,swptrace,memwalk,in,19803,00000000d0a44bae
4218,1.102956,swptrace,memwalk,in,19931,000000005ede509b
4220,1.103235,swptrace,memwalk,in,20059,00000000ce022a33
4222,1.103516,swptrace,memwalk,in,20187,00000000c961100a
4224,1.103853,swptrace,memwalk,in,20315,000000006643c61e
4226,1.104181,swptrace,memwalk,in,20443,000000000c31b058
4228,1.104451,swptrace,memwalk,in,20571,00000000f50c7e44
4230,1.104756,swptrace,memwalk,in,20699,0000000024c4adb2
4232,1.105026,swptrace,memwalk,in,20827,00000000446ae856
4233,1.105295,swptrace,memwalk,map,22022,140492173586432
4234,1.105297,swptrace,memwalk,in,22022,00000000dbd18b5e
4235,1.105493,swptrace,memwalk,map,22150,140492174110720
4236,1.105495,swptrace,memwalk,in,22150,00000000d903f546
4237,1.105798,swptrace,memwalk,map,22278,140492174635008
4238,1.105799,swptrace,memwalk,in,22278,0000000076a5a666
4239,1.106112,swptrace,memwalk,map,22406,140492175159296
4240,1.106113,swptrace,memwalk,in,22406,0000000075a80ee5
4241,1.106415,swptrace,memwalk,map,22712,140492175683584
4242,1.106418,swptrace,memwalk,in,22712,00000000088e773f
4243,1.113311,swptrace,memwalk,map,22840,140492176207872
4244,1.113315,swptrace,memwalk,in,22840,00000000bd9c418c
4245,1.116731,swptrace,memwalk,map,22968,140492176732160
4246,1.116736,swptrace,memwalk,in,22968,000000007f753a73
4247,1.120182,swptrace,memwalk,map,23096,140492177256448
4248,1.120191,swptrace,memwalk,in,23096,0000000041f01a58
4249,1.123601,swptrace,memwalk,map,23224,140492177780736
4250,1.123613,swptrace,memwalk,in,23224,00000000588724a4
4251,1.127938,swptrace,memwalk,map,23352,140492178305024
4252,1.12795,swptrace,memwalk,in,23352,000000003edafda5
4253,1.131345,swptrace,memwalk,map,23480,140492178829312
4254,1.131358,swptrace,memwalk,in,23480,0000000017d06f85
4255,1.134696,swptrace,memwalk,map,23608,140492179353600
4256,1.13471,swptrace,memwalk,in,23608,00000000a2d37c5e
4257,1.139029,swptrace,memwalk,map,23736,140492179877888
4258,1.139041,swptrace,memwalk,in,23736,00000000643efb2e
4259,1.142433,swptrace,memwalk,map,23864,140492180402176
4260,1.142445,swptrace,memwalk,in,23864,000000009c4d4ff2
4261,1.14587,swptrace,memwalk,map,23992,140492180926464
4262,1.145883,swptrace,memwalk,in,23992,00000000104fcc9b
4263,1.150202,swptrace,memwalk,map,24120,140492181450752
4264,1.150215,swptrace,memwalk,in,24120,00000000d45228d2
4265,1.153609,swptrace,memwalk,map,24248,140492181975040
4266,1.153622,swptrace,memwalk,in,24248,000000005ced57b0
4267,1.157017,swptrace,memwalk,map,24376,140492182499328
4268,1.157031,swptrace,memwalk,in,24376,000000002b8e4f69
4269,1.161354,swptrace,memwalk,map,24504,140492183023616
4270,1.161367,swptrace,memwalk,in,24504,000000008d7988bd
4271,1.164749,swptrace,memwalk,map,24632,140492183547904
4272,1.16477,swptrace,memwalk,in,24632,0000000085d5ddd8
4273,1.168147,swptrace,memwalk,map,24760,140492184072192
4274,1.168161,swptrace,memwalk,in,24760,00000000f9d6526f
4275,1.171543,swptrace,memwalk,map,24888,140492184596480
4276,1.171558,swptrace,memwalk,in,24888,000000006c4921b5
4277,1.175879,swptrace,memwalk,map,25016,140492185120768
4278,1.175894,swptrace,memwalk,in,25016,00000000f42dcaea
4279,1.179238,swptrace,memwalk,map,25144,140492185645056
4280,1.179252,swptrace,memwalk,in,25144,000000009ad975d0
4281,1.182657,swptrace,memwalk,map,25272,140492186169344
4282,1.182674,swptrace,memwalk,in,25272,00000000dbd4f090
4283,1.18701,swptrace,memwalk,map,25400,140492186693632
4284,1.187025,swptrace,memwalk,in,25400,000000004f13fccc
4285,1.190399,swptrace,memwalk,map,25528,140492187217920
4286,1.190409,swptrace,memwalk,map,25656,140492187742208
4287,1.190415,swptrace,memwalk,map,26181,140492188266496
4288,1.190421,swptrace,memwalk,map,26309,140492188790784
4289,1.190427,swptrace,memwalk,map,26437,140492189315072
4290,1.190433,swptrace,memwalk,map,26565,140492189839360
4291,1.190861,swptrace,memwalk,map,17486,94209117593600
4292,15.146463,swptrace,memwalk,map,17507,140492664774656
4295,15.157443,swptrace,run,in,17481,00000000abea9137
4298,15.157777,swptrace,run,map,17481,140731218735104
4299,15.157796,swptrace,run,map,17484,93896017608704
4304,15.157815,swptrace,run,in,17479,00000000dae25bc4
4305,15.158026,swptrace,run,map,17479,93896017653760
4307,15.158029,swptrace,run,in,17466,000000009ac16b02
4309,15.158199,swptrace,run,map,17466,93896017678336
4310,15.15823,swptrace,run,map,17480,93896017645568
4311,15.158233,swptrace,run,map,17483,93896034619392
4316,15.158245,swptrace,run,in,17447,00000000194df86f
4317,15.158389,swptrace,run,map,17447,139928671358976
4319,15.158395,swptrace,run,in,15838,00000000432ef6fa
4321,15.158527,swptrace,run,map,15838,93896017604608
4322,15.158532,swptrace,run,map,17445,139928664760320
4323,15.158533,swptrace,run,map,17482,139928664764416
4326,15.158539,swptrace,run,in,17469,00000000896d6975
4329,15.158698,swptrace,run,map,17469,93896034574336
4331,15.158702,swptrace,run,in,17472,00000000cca8135a
4333,15.158822,swptrace,run,map,17472,93896034582528
4335,15.158825,swptrace,run,in,17465,000000007a7f4cbd
4336,15.158961,swptrace,run,map,17467,139928664772608
4337,15.158963,swptrace,run,map,17444,139928664768512
4338,15.158985,swptrace,run,map,17478,140731218731008
4342,15.158999,swptrace,run,in,17450,0000000024787781
4348,15.159216,swptrace,run,map,17450,139928664752128
4351,15.159226,swptrace,run,in,15834,00000000107414bf
4353,15.159398,swptrace,run,map,15834,139928671432704
4356,15.159414,swptrace,run,in,15837,0000000024e26b13
4357,15.15958,swptrace,run,map,15837,139928671436800
4358,15.159584,swptrace,run,map,15839,139928671371264
4359,15.159598,swptrace,run,map,15836,139928671428608
4360,15.1596,swptrace,run,map,17455,93896017592320
4363,15.159617,swptrace,run,in,15841,00000000129a3ab7
4365,15.159756,swptrace,run,map,15841,139928669163520
4366,15.159758,swptrace,run,map,17452,139928669151232
4367,15.15976,swptrace,run,map,15840,139928669167616
4369,15.159767,swptrace,run,in,17443,0000000076b898fd
4370,15.159882,swptrace,run,map,17443,139928666894336
4371,15.159884,swptrace,run,map,15842,139928666898432
4372,15.159887,swptrace,run,map,17449,139928664748032
